ad_account_id_x,game_id,channel_id,source_id,budget_mode,create_time,optimization_goal,time_series,bid_strategy,bid_amount,daily_budget,expand_enabled,expand_targeting,device_price,app_install_status,gender,game_consumption_level,age,custom_audience,excluded_custom_audience,network_type,deep_conversion_type,deep_conversion_behavior_spec,deep_conversion_worth_spec,intention_targeting_tags,interest_category_id_list,interest_keyword_list,behavior_category_id_list,behavior_intensity,behavior_keyword_list,behavior_scene,behavior_time_window,conversion_behavior_list,excluded_dimension,location_types,regions,image_id,deep_link_url,adcreative_template_id,page_spec,page_type,site_set,label,promoted_object_id,promoted_object_type,automatic_site_enabled,link_name_type,link_page_type,profile_id,link_page_spec,adcreative_elements,label_ids,ad_account_id_y,tdate,amount,new_role_money,roi,pay_rate,manager_id
11029,1001991,21387,1494045,0,2022-06-24 11:13:04,OPTIMIZATIONGOAL_FIRST_PURCHASE,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BID_STRATEGY_TARGET_COST,496113,0,False,[],,,,,"[{'min': 20, 'max': 50}]","[24388425, 24388423, 24388417, 24388414, 24388415, 24388419, 24388410, 24388413, 24388412]",[24388418],,,,,,,,,,,,,,,,,45534,,720,{'page_id': 23593365},PAGE_TYPE_XIJING_QUICK,['SITE_SET_WECHAT'],,2000005658,PROMOTED_OBJECT_TYPE_APP_ANDROID,False,DOWNLOAD_APP,,,,"{'end_page': {'end_page_desc': '无线关卡，好玩又刺激！', 'end_page_type': 'END_PAGE_DESCRIPTION_HIGHLIGHT'}, 'description': '智商149卡在了39关，这款游戏太烧脑，你能过几关？', 'video': 145212, 'button_text': '立即下载', 'brand': {'brand_name': '迷城起源', 'brand_img': 141594}}","277,301",11029,2022-06-24,4049.41,42.0,0.010372,0.0102,13765
9408,1001991,21339,1495145,0,2022-06-25 16:35:03,OPTIMIZATIONGOAL_APP_ACTIVATE,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BID_STRATEGY_TARGET_COST,259241,0,True,['gender'],,,['MALE'],,"[{'min': 14, 'max': 66}]","[10720475, 10720453, 10720474, 10720522, 10703006, 10720469, 10739615, 10739614, 10755381, 10755378, 23925206, 24117370, 24117392, 24116078, 24116073, 24116077, 24116074, 24117380, 24118754, 24118747, 24118750, 24118748, 24118746, 24118753, 24118728, 24118751, 24118730, 24118729, 24118731, 24117422, 24117412, 24117413, 24117415, 24117403, 24117405, 24117401, 24117402, 24117400, 24123079, 24123078, 24123080, 24123532, 24123531, 24123114, 24123106, 24123113, 24123105, 24123098, 24123090, 24123091]","[24097936, 24144888, 23469935, 23469904, 23469937]",,DEEP_CONVERSION_WORTH,,"{'goal': 'GOAL_1DAY_PURCHASE_ROAS', 'expected_roi': 0.01}",,,,,,,,,['OPTIMIZATIONGOAL_APP_ACTIVATE'],EXCLUDED_DIMENSION_APP,,,44743,,720,,PAGE_TYPE_DEFAULT,"['SITE_SET_QQ_MUSIC_GAME', 'SITE_SET_KANDIAN', 'SITE_SET_TENCENT_NEWS', 'SITE_SET_TENCENT_VIDEO', 'SITE_SET_MOBILE_UNION']",,2000005658,PROMOTED_OBJECT_TYPE_APP_ANDROID,False,,,,,"{'image': 144263, 'description': '智商149卡在了39关，这款游戏太烧脑，你能过几关？', 'video': 144263, 'button_text': '下载游戏', 'brand': {'brand_name': '迷城起源', 'brand_img': 141595}}",27,9408,2022-06-26,786.12,30.0,0.038162,0.3333,13612
8526,1001991,21212,1495191,0,2022-06-25 17:21:05,OPTIMIZATIONGOAL_APP_ACTIVATE,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110000111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BID_STRATEGY_AVERAGE_COST,70038,0,False,[],,,,,"[{'min': 24, 'max': 66}]","[24388425, 24388423, 24388417, 24388414, 24388415, 24388419, 24388410, 24388413, 24388416, 24388411, 24388412]",[24388418],,DEEP_CONVERSION_WORTH,,"{'goal': 'GOAL_1DAY_PURCHASE_ROAS', 'expected_roi': 0.01}",,,,,,,,,,,,,47377,,720,,PAGE_TYPE_DEFAULT,"['SITE_SET_QQ_MUSIC_GAME', 'SITE_SET_KANDIAN', 'SITE_SET_TENCENT_NEWS', 'SITE_SET_TENCENT_VIDEO', 'SITE_SET_MOBILE_UNION']",,2000005658,PROMOTED_OBJECT_TYPE_APP_ANDROID,False,,,,,"{'image': 148854, 'description': '智商149卡在了39关，这款游戏太烧脑，你能过几关？', 'video': 148854, 'button_text': '立即下载', 'brand': {'brand_name': '迷城起源', 'brand_img': 141595}}",277,8526,2022-06-26,2993.38,784.0,0.261911,0.2222,13333
12035,1001991,6867,1495224,0,2022-06-25 18:09:03,OPTIMIZATIONGOAL_APP_ACTIVATE,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BID_STRATEGY_AVERAGE_COST,34712,0,False,[],,,,,"[{'min': 14, 'max': 66}]","[24388425, 24388423, 24388417, 24388414, 24388415, 24388413, 24388412, 24388411, 24388416, 24388410, 24388419]",[24388418],,DEEP_CONVERSION_WORTH,,"{'goal': 'GOAL_1DAY_PURCHASE_ROAS', 'expected_roi': 0.015}",,,,,,,,,,,,,45534,,720,{'page_id': 46455735},PAGE_TYPE_XIJING_QUICK,"['SITE_SET_QQ_MUSIC_GAME', 'SITE_SET_KANDIAN', 'SITE_SET_TENCENT_NEWS', 'SITE_SET_TENCENT_VIDEO']",,2000005658,PROMOTED_OBJECT_TYPE_APP_ANDROID,False,,,,,"{'image': 145212, 'description': '智商149卡在了39关，这款游戏太烧脑，你能过几关？', 'video': 145212, 'button_text': '立即下载', 'brand': {'brand_name': '迷城起源', 'brand_img': 141594}}","277,301",12035,2022-06-27,1398.45,30.0,0.021452,0.0909,12045
9408,1001991,21339,1496139,0,2022-06-27 11:09:03,OPTIMIZATIONGOAL_APP_ACTIVATE,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BID_STRATEGY_TARGET_COST,240988,0,True,['gender'],,,['MALE'],,"[{'min': 14, 'max': 66}]","[10720475, 10720453, 10720474, 10720522, 10703006, 10720469, 10739615, 10739614, 10755381, 10755378, 23925206, 24117370, 24117392, 24116078, 24116073, 24116077, 24116074, 24117380, 24118754, 24118747, 24118750, 24118748, 24118746, 24118753, 24118728, 24118751, 24118730, 24118729, 24118731, 24117422, 24117412, 24117413, 24117415, 24117403, 24117405, 24117401, 24117402, 24117400, 24123079, 24123078, 24123080, 24123532, 24123531, 24123114, 24123106, 24123113, 24123105, 24123098, 24123090, 24123091]","[24097936, 24144888, 23469935, 23469904, 23469937]",,DEEP_CONVERSION_WORTH,,"{'goal': 'GOAL_1DAY_PURCHASE_ROAS', 'expected_roi': 0.01}",,,,,,,,,['OPTIMIZATIONGOAL_APP_ACTIVATE'],EXCLUDED_DIMENSION_APP,,,44743,,720,,PAGE_TYPE_DEFAULT,"['SITE_SET_QQ_MUSIC_GAME', 'SITE_SET_KANDIAN', 'SITE_SET_TENCENT_NEWS', 'SITE_SET_TENCENT_VIDEO', 'SITE_SET_MOBILE_UNION']",,2000005658,PROMOTED_OBJECT_TYPE_APP_ANDROID,False,,,,,"{'image': 144263, 'description': '智商149卡在了39关，这款游戏太烧脑，你能过几关？', 'video': 144263, 'button_text': '下载游戏', 'brand': {'brand_name': '迷城起源', 'brand_img': 141595}}",27,9408,2022-06-28,787.39,128.0,0.162562,0.5,13612
11029,1001991,21387,1496305,0,2022-06-27 14:07:03,OPTIMIZATIONGOAL_APP_ACTIVATE,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BID_STRATEGY_TARGET_COST,499289,0,True,"['age', 'gender']",,,['MALE'],,"[{'min': 23, 'max': 48}]","[24388425, 24388423, 24388417, 24388414, 24388419, 24388410, 24388416, 24388412]",[24388418],,DEEP_CONVERSION_WORTH,,"{'goal': 'GOAL_1DAY_PURCHASE_ROAS', 'expected_roi': 0.012}",,,,,,,,,,,,,45534,,720,{'page_id': 23593363},PAGE_TYPE_TSA_APP,"['SITE_SET_QQ_MUSIC_GAME', 'SITE_SET_KANDIAN', 'SITE_SET_TENCENT_NEWS', 'SITE_SET_TENCENT_VIDEO']",,2000005658,PROMOTED_OBJECT_TYPE_APP_ANDROID,False,,,,,"{'image': 145212, 'description': '智商149卡在了39关，这款游戏太烧脑，你能过几关？', 'video': 145212, 'button_text': '立即下载', 'brand': {'brand_name': '迷城起源', 'brand_img': 141594}}","277,301",11029,2022-06-27,818.15,48.0,0.058669,0.2,13765
11327,1001991,6867,1496891,0,2022-06-28 11:11:06,OPTIMIZATIONGOAL_APP_ACTIVATE,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BID_STRATEGY_AVERAGE_COST,14080,0,True,[],,,['MALE'],,"[{'min': 20, 'max': 50}]",,,,DEEP_CONVERSION_WORTH,,"{'goal': 'GOAL_1DAY_PURCHASE_ROAS', 'expected_roi': 0.015}",,,,,,,,,,,,,45799,,720,{'page_id': 23698860},PAGE_TYPE_XIJING_QUICK,['SITE_SET_WECHAT'],,2000005658,PROMOTED_OBJECT_TYPE_APP_ANDROID,False,DOWNLOAD_APP,,,,"{'end_page': {'end_page_desc': '喂！不是吧！这也太难了！', 'end_page_type': 'END_PAGE_DESCRIPTION_HIGHLIGHT'}, 'description': '休闲又魔性，能过这关是人才！', 'video': 145764, 'button_text': '立即下载', 'brand': {'brand_name': '迷城起源', 'brand_img': 141595}}","301,277",11327,2022-06-29,1466.72,12.0,0.008182,0.0526,12045
11327,1001991,6867,1496888,0,2022-06-28 11:11:06,OPTIMIZATIONGOAL_APP_ACTIVATE,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BID_STRATEGY_AVERAGE_COST,22505,0,False,[],,,['MALE'],,"[{'min': 20, 'max': 50}]",,,,DEEP_CONVERSION_WORTH,,"{'goal': 'GOAL_1DAY_PURCHASE_ROAS', 'expected_roi': 0.015}",,,,,,,,,,,,,45534,,720,{'page_id': 23698860},PAGE_TYPE_XIJING_QUICK,['SITE_SET_WECHAT'],,2000005658,PROMOTED_OBJECT_TYPE_APP_ANDROID,False,DOWNLOAD_APP,,,,"{'end_page': {'end_page_desc': '喂！不是吧！这也太难了！', 'end_page_type': 'END_PAGE_DESCRIPTION_HIGHLIGHT'}, 'description': '休闲又魔性，能过这关是人才！', 'video': 145212, 'button_text': '立即下载', 'brand': {'brand_name': '迷城起源', 'brand_img': 141595}}","277,301",11327,2022-06-29,8727.2,226.0,0.025896,0.0074,12045
12036,1001841,6867,1496924,0,2022-06-28 11:27:03,OPTIMIZATIONGOAL_APP_PURCHASE,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BID_STRATEGY_AVERAGE_COST,76600,0,False,[],,,['MALE'],,"[{'min': 14, 'max': 66}]","[24388423, 24388417, 24388414, 24388415, 24388419, 24388413, 24388410, 24388411, 24388416, 24388412, 24388425]",[24388418],,,,,,,,,,,,,,,,,47316,,720,{'page_id': 46664702},PAGE_TYPE_TSA_APP,"['SITE_SET_QQ_MUSIC_GAME', 'SITE_SET_KANDIAN', 'SITE_SET_TENCENT_NEWS', 'SITE_SET_TENCENT_VIDEO']",,2000002049,PROMOTED_OBJECT_TYPE_APP_ANDROID,False,,,,,"{'image': 148721, 'description': '智商149卡在了39关，这款游戏太烧脑，你能过几关？', 'video': 148721, 'button_text': '立即下载', 'brand': {'brand_name': '迷城起源-建桥大师', 'brand_img': 146334}}","277,301",12036,2022-06-28,1920.3,42.0,0.021872,0.0154,12045
12036,1001841,6867,1496930,0,2022-06-28 11:28:04,OPTIMIZATIONGOAL_APP_PURCHASE,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BID_STRATEGY_AVERAGE_COST,96383,0,False,[],,,['MALE'],,"[{'min': 14, 'max': 66}]","[24388423, 24388417, 24388414, 24388415, 24388419, 24388413, 24388410, 24388411, 24388416, 24388412, 24388425]",[24388418],,,,,,,,,,,,,,,,,47266,,720,{'page_id': 46664702},PAGE_TYPE_TSA_APP,"['SITE_SET_QQ_MUSIC_GAME', 'SITE_SET_KANDIAN', 'SITE_SET_TENCENT_NEWS', 'SITE_SET_TENCENT_VIDEO']",,2000002049,PROMOTED_OBJECT_TYPE_APP_ANDROID,False,,,,,"{'image': 148627, 'description': '智商149卡在了39关，这款游戏太烧脑，你能过几关？', 'video': 148627, 'button_text': '立即下载', 'brand': {'brand_name': '迷城起源-建桥大师', 'brand_img': 146334}}","301,277",12036,2022-06-29,860.19,158.0,0.18368,0.0476,12045
