,channel_id,source_id,7_pay_sum,pay_num,amount,roi,pay_cost
1046,21328,1350746,1282.8938562486583,2.0,11244.22,0.11409362821508814,5622.11
1048,21328,1350748,791.2381880662984,5.0,9744.36,0.08119960552219935,1948.872
1049,21328,1350749,539.581594150562,2.0,4413.49,0.12225735056623262,2206.745
1051,21328,1350751,262.07917901356404,2.0,4436.66,0.05907127862255932,2218.33
1070,21328,1354122,424.1629445834028,4.0,6353.88,0.06675652429435287,1588.47
1072,21328,1354124,6175.954847303924,2.0,7754.98,0.7963856576424342,3877.49
1209,21339,1321791,1264.21841639848,4.0,8938.54,0.14143455378601874,2234.635
1211,21339,1329957,225.21077646765184,1.0,3342.07,0.067386612628596,3342.07
1218,21339,1347740,1213.9926222570791,5.0,9109.05,0.13327324169447738,1821.81
1246,21339,1350535,393.17905064693656,2.0,5019.860000000001,0.07832470440349662,2509.9300000000003
1290,21380,1340352,1824.8401806895538,6.0,16520.87,0.11045666364359467,2753.478333333333
1318,21387,1178128,1176.0588752394297,4.0,9454.53,0.12439104590491855,2363.6325
1356,21387,1334415,248.79128237692592,3.0,3891.3,0.0639352613206193,1297.1000000000001
1359,21387,1336900,5125.179412501677,7.0,19204.24,0.26687749228824864,2743.4628571428575
1384,21387,1343624,2805.624759619631,8.0,9546.75,0.29388270978287173,1193.34375
1387,21387,1343654,229.98612716319732,3.0,3188.86,0.0721217385407943,1062.9533333333334
1389,21387,1346175,595.0200135874933,3.0,4234.38,0.1405211656930869,1411.46
1390,21387,1346176,2608.759808814964,14.0,19259.34,0.1354542683609596,1375.6671428571428
1392,21387,1346179,1152.4942442685121,5.0,12417.25,0.09281396800970522,2483.45
1404,21387,1346285,47.747214166563104,1.0,436.69,0.10933892272908266,436.69
1418,21387,1347609,819.0128446996939,6.0,16280.69,0.050305782168918754,2713.4483333333333
1423,21387,1348161,392.9657582595709,3.0,7240.51,0.05427321532040849,2413.5033333333336
1424,21387,1348162,126.73447545895117,1.0,1148.6399999999999,0.11033437409366832,1148.6399999999999
1427,21387,1348907,4991.38808645833,5.0,16455.67,0.30332329746879527,3291.1339999999996
1428,21387,1348909,1054.424336411411,4.0,9292.77,0.11346717248047795,2323.1925
1431,21387,1348912,366.0170968302682,1.0,5612.88,0.06521021237408749,5612.88
1433,21387,1348915,1734.6655103083194,6.0,14130.41,0.12276115911062166,2355.068333333333
1434,21387,1348916,415.8716210616602,2.0,7525.74,0.05525989750664523,3762.87
1443,21387,1351257,625.7576202755125,5.0,11499.06,0.054418154203518594,2299.812
1445,21387,1352657,402.9622966292366,2.0,6419.46,0.06277199275783892,3209.73
1450,21387,1352662,563.5108833681272,1.0,4216.16,0.13365500440403763,4216.16
1464,21387,1353083,177.97136371025138,2.0,3412.55,0.05215201644232359,1706.275
1549,21394,1343333,219.79876211059596,2.0,2189.46,0.1003894851290254,1094.73
1550,21394,1343334,816.0,1.0,2724.0,0.29955947136563876,2724.0
1559,21394,1343354,206.0,1.0,3235.2,0.06367457962413453,3235.2
1567,21394,1343544,336.0,2.0,3038.17,0.11059288979879335,1519.085
1574,21394,1344285,617.4261513212007,2.0,6328.13,0.09756849990774537,3164.065
1577,21394,1344420,402.0,1.0,6407.2,0.06274191534523661,6407.2
1579,21394,1345882,308.0,1.0,1216.51,0.2531832866149888,1216.51
1585,21394,1345888,230.0,1.0,854.47,0.2691727035472281,854.47
1591,21394,1345894,250.0,2.0,2148.25,0.11637379262190155,1074.125
1605,21394,1346932,176.0665138379212,2.0,1907.14,0.09231965867105782,953.57
1606,21394,1346933,259.4249202566073,3.0,4777.73,0.05429878211129707,1592.5766666666666
1616,21394,1348415,138.7498609314335,1.0,2139.3,0.06485759871520286,2139.3
1619,21394,1348419,637.0995958133522,3.0,9385.11,0.06788408402387953,3128.3700000000003
1620,21394,1348420,3849.102916131193,1.0,4921.280000000001,0.7821345089349098,4921.280000000001
1649,21394,1348516,349.78534157998706,1.0,840.94,0.4159456579303958,840.94
1663,21394,1349450,3348.098863286817,2.0,4760.1,0.7033673375111482,2380.05
1664,21394,1349453,551.1853556421548,1.0,2361.13,0.23344134191770669,2361.13
1688,21394,1350310,3760.9894349754486,7.0,14708.5,0.25570176666386435,2101.214285714286
1698,21394,1350320,594.4289234806249,2.0,9405.509999999998,0.06320007351867417,4702.754999999999
1699,21394,1350321,3288.8067853275184,2.0,11836.8,0.2778459368518112,5918.4
1701,21394,1350323,214.11809150446217,2.0,2492.99,0.08588806674092643,1246.495
1712,21394,1350335,822.6439807965503,2.0,2577.81,0.31912514141715265,1288.905
1733,21394,1352854,283.9031775051503,1.0,811.53,0.34983694688446554,811.53
1741,21394,1353121,310.4899642785113,1.0,1661.75,0.18684517182398755,1661.75
1779,21513,1343513,3322.498168163398,6.0,15482.72,0.2145939581781107,2580.4533333333334
1780,21513,1343514,1072.92,5.0,9174.89,0.11694091155316305,1834.9779999999998
1791,21513,1345021,12507.696642194413,5.0,15635.6,0.7999498990889005,3127.12
1792,21513,1345126,462.0,1.0,6444.79,0.0716858113297718,6444.79
1797,21513,1345851,98.0,1.0,1522.46,0.06436950724485373,1522.46
1803,21513,1347382,260.62459983868837,1.0,3781.63,0.06891858797362205,3781.63
1806,21513,1347385,4227.384054969313,1.0,1445.01,2.925505051846917,1445.01
1816,21513,1348988,360.65854320357676,1.0,4297.37,0.0839254109382196,4297.37
1817,21513,1348989,351.8232335464049,5.0,6937.08,0.050716329283560936,1387.416
1827,21513,1351699,4859.724618048616,2.0,7697.51,0.6313372269797137,3848.755
1830,21513,1352070,633.5150657755089,3.0,6080.61,0.10418610398882824,2026.87
