image_id,image_name,media_id,image_launch_time,image_source_total_num,image_run_date_amount,image_create_role_pay_num,image_create_role_num,image_create_role_pay_sum,image_source_num,image_create_role_pay_rate,image_create_role_cost,image_create_role_pay_cost,image_valid_source_num,image_valid_source_rate,image_pay_sum_ability,image_pay_num_ability,image_create_role_roi,image_create_role_retain_1d,create_role_30_pay_sum,model_run_datetime,data_win
31001,WD1360-CHL,16,2021-05-01,1,971.42,0.0,3.0,0.0,1.0,0.0,323.806667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-05-01,3
31355,WD1364-CHL,16,2021-05-01,14,1479.71,1.0,17.0,6.0,1.0,0.0588,87.041765,1479.71,1.0,1.0,6.0,1.0,0.004055,0.1176,6.0,2021-05-01,3
31505,WD1367-CHL,16,2021-05-01,3,1191.31,0.0,8.0,0.0,1.0,0.0,148.91375,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,2021-05-01,3
31942,ZDZL1973-横版Z,16,2021-05-01,2,708.21,0.0,17.0,0.0,2.0,0.0,41.659412,0.0,0.0,0.0,0.0,0.0,0.0,0.1765,0.0,2021-05-01,3
31945,ZDZL1974-横版CHL+坦克展示,16,2021-05-01,15,662.72,0.0,10.0,0.0,1.0,0.0,66.272,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,2021-05-01,3
31964,ZDZL1977-竖版LL,16,2021-05-01,7,122.66,0.0,5.0,0.0,1.0,0.0,24.532,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,2021-05-01,3
23530,QXJJ092-横版CHL,16,2021-05-02,1,147.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2021-05-02,3
23536,QXJJ094-竖版xy,16,2021-05-01,1,1984.45,1.0,55.0,1.0,1.0,0.0182,36.080909,1984.45,1.0,1.0,1.0,1.0,0.000504,0.1273,1.0,2021-05-02,3
23778,ZDZL1134-横版ZDC,16,2021-05-01,4,1037.47,0.0,9.0,0.0,1.0,0.0,115.274444,0.0,0.0,0.0,0.0,0.0,0.0,0.1111,0.0,2021-05-02,3
23919,ZDZL1176-横版ZDC,16,2021-05-01,1,5605.29,3.0,58.0,395.0,1.0,0.0517,96.642931,1868.43,1.0,1.0,395.0,3.0,0.070469,0.2414,1981.0,2021-05-02,3
24608,ZDZL1285-竖版ZDC,16,2021-05-01,5,773.53,0.0,14.0,0.0,1.0,0.0,55.252143,0.0,0.0,0.0,0.0,0.0,0.0,0.0714,0.0,2021-05-02,3
27431,ZDZL1723-横版LL,16,2021-05-02,2,355.54,0.0,1.0,0.0,1.0,0.0,355.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-05-02,3
27485,ZDZL1737-横版LL,16,2021-05-01,3,1486.9,0.0,16.0,0.0,1.0,0.0,92.93125,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,2021-05-02,3
28057,ZDZL1827-横版LL,16,2021-05-01,5,4589.86,5.0,71.0,84.0,1.0,0.0704,64.645915,917.972,1.0,1.0,84.0,5.0,0.018301,0.2639,583.0,2021-05-02,3
29130,ZDZL1887-竖版Z 登录就送版,16,2021-05-01,1,1226.9,1.0,38.0,162.0,1.0,0.0263,32.286842,1226.9,1.0,1.0,162.0,1.0,0.13204,0.2895,1104.0,2021-05-02,3
29382,ZDZL1915-竖版ZDC,16,2021-05-02,1,589.41,1.0,7.0,6.0,1.0,0.1429,84.201429,589.41,1.0,1.0,6.0,1.0,0.01018,0.2857,6.0,2021-05-02,3
