ad_account_id_1,ad_amount_1,ad_create_role_num_1,ad_new_role_money_1,ad_pay_role_user_num_1,ad_source_num_1,ad_valid_source_num_1,model_run_datetime_1,data_win_1
5110,14041.11,121,6336,12,4,1,2020/1/12,1
5138,5694.15,78,0,0,5,0,2020/1/12,1
5235,1654.06,45,0,0,2,0,2020/1/12,1
5266,5070.48,217,244,2,5,1,2020/1/12,1
5344,8804.3,262,60,1,12,0,2020/1/12,1
5345,4326.31,27,84,2,1,1,2020/1/12,1
5347,7444.75,56,264,1,8,0,2020/1/12,1
5349,2949.03,8,66,1,7,1,2020/1/12,1
5350,4186.01,111,0,0,6,0,2020/1/12,1
5351,10093.08,126,604,4,9,2,2020/1/12,1
5352,5081.26,60,84,2,7,1,2020/1/12,1
4691,12523.3,94,500,6,7,2,2020/1/13,1
4692,25907.44,997,5298,34,12,5,2020/1/13,1
4800,18565.35,578,788,12,8,3,2020/1/13,1
4884,22662.19,738,4860,21,5,3,2020/1/13,1
5101,28610.61,1174,1656,34,8,5,2020/1/13,1
5105,8752.77,217,914,11,7,3,2020/1/13,1
5110,11880.57,110,448,8,4,2,2020/1/13,1
5138,892.53,18,0,0,1,0,2020/1/13,1
5235,4649.11,126,108,4,2,0,2020/1/13,1
5266,6563.25,331,268,4,5,1,2020/1/13,1
5344,6396.69,182,182,3,5,1,2020/1/13,1
5345,5627.23,54,108,4,1,1,2020/1/13,1
5347,1808.79,26,0,0,4,0,2020/1/13,1
5349,835.69,2,0,0,2,0,2020/1/13,1
5350,2198.24,78,0,0,1,0,2020/1/13,1
5351,7853.11,110,4476,4,6,1,2020/1/13,1
5352,8572.57,82,584,8,3,1,2020/1/13,1
4691,8754.26,98,60,2,3,1,2020/1/14,1
4692,34283.74,1180,9364,48,13,5,2020/1/14,1
4800,11481.6,328,704,5,8,2,2020/1/14,1
4884,30328.1,1409,4176,26,5,5,2020/1/14,1
5101,25329.58,1063,3324,40,7,5,2020/1/14,1
5105,7134.88,182,2072,4,5,2,2020/1/14,1
5110,9496.86,87,232,3,4,1,2020/1/14,1
5235,4808.3,138,24,2,2,1,2020/1/14,1
5265,2884.19,272,42,1,2,1,2020/1/14,1
5266,6360.6,416,144,6,5,1,2020/1/14,1
5344,3784.03,87,268,6,3,1,2020/1/14,1
5345,9074.84,68,194,4,2,2,2020/1/14,1
5347,782.4,13,0,0,1,0,2020/1/14,1
5350,1046.57,40,0,0,1,0,2020/1/14,1
5351,7360.21,108,152,1,7,1,2020/1/14,1
5352,9645.19,101,204,8,3,2,2020/1/14,1
4691,9258.91,99,1166,5,9,1,2020/1/15,1
4692,69077.54,2754,10758,91,14,5,2020/1/15,1
4800,4953.75,243,576,2,5,1,2020/1/15,1
4884,22942.14,1627,2834,23,3,3,2020/1/15,1
5101,24766.74,995,1688,28,4,3,2020/1/15,1
5105,9061.02,260,60,2,6,1,2020/1/15,1
5110,9547.8,58,0,0,10,0,2020/1/15,1
5138,14436.78,120,212,3,9,2,2020/1/15,1
5235,1813.25,57,24,2,1,1,2020/1/15,1
5248,913.69,4,0,0,2,0,2020/1/15,1
5249,1647.99,5,0,0,2,0,2020/1/15,1
5250,2771.69,18,30,1,7,1,2020/1/15,1
5251,1787.4,7,0,0,6,0,2020/1/15,1
5264,4470.34,16,0,0,10,0,2020/1/15,1
5265,9041.46,1287,132,6,8,1,2020/1/15,1
5266,4514.01,355,256,2,4,1,2020/1/15,1
5344,3779.98,91,220,4,2,1,2020/1/15,1
5345,14463.14,89,604,6,4,1,2020/1/15,1
5347,1987.51,17,30,1,2,1,2020/1/15,1
5351,19677.27,268,996,6,13,4,2020/1/15,1
5352,7409.88,80,642,5,3,2,2020/1/15,1
4691,17906.35,113,544,6,9,1,2020/1/16,1
4692,92282.51,3776,17382,159,11,4,2020/1/16,1
4800,17642.26,764,764,8,11,3,2020/1/16,1
4884,15987.29,1274,1728,18,2,2,2020/1/16,1
5101,26241.92,1011,2580,28,9,2,2020/1/16,1
5105,15234.26,426,192,8,6,2,2020/1/16,1
5110,16700.07,74,12,1,14,1,2020/1/16,1
5138,30945.94,397,812,11,16,4,2020/1/16,1
5248,2426.38,7,0,0,5,0,2020/1/16,1
5249,10058.74,77,24,2,10,0,2020/1/16,1
5250,3190.29,21,30,1,7,1,2020/1/16,1
5251,3019.08,14,0,0,6,0,2020/1/16,1
5264,9205.63,42,328,8,13,2,2020/1/16,1
5265,9555.35,1296,168,6,13,2,2020/1/16,1
5266,2728.46,172,0,0,1,0,2020/1/16,1
5344,3478.6,79,196,2,1,1,2020/1/16,1
5345,23351.78,176,2332,16,4,3,2020/1/16,1
5347,5292.68,28,162,2,4,1,2020/1/16,1
5351,23697.61,289,6858,13,19,4,2020/1/16,1
5352,8702.88,57,72,3,11,2,2020/1/16,1
4687,752.51,3,0,0,2,0,2020/1/17,1
4688,45450.77,1646,3930,25,9,4,2020/1/17,1
4691,28098.57,151,676,12,6,2,2020/1/17,1
4692,71492.15,2854,11324,92,9,4,2020/1/17,1
4800,23477.23,954,668,14,16,3,2020/1/17,1
4884,19039.88,1245,3386,11,7,3,2020/1/17,1
5101,27281.65,1022,5592,16,12,4,2020/1/17,1
5105,53293.08,1561,1764,23,12,5,2020/1/17,1
5110,13024.58,58,12,1,15,1,2020/1/17,1
5134,15198.7,228,30,1,4,1,2020/1/17,1
5138,22423.25,343,634,8,13,3,2020/1/17,1
5248,2424.76,6,0,0,8,0,2020/1/17,1
5249,10406.59,75,268,5,13,2,2020/1/17,1
5250,418.6,3,0,0,1,0,2020/1/17,1
5251,1231.68,7,0,0,2,0,2020/1/17,1
5264,10784.52,88,912,13,11,2,2020/1/17,1
5265,5221.18,311,380,5,10,2,2020/1/17,1
5266,1077.82,60,0,0,1,0,2020/1/17,1
5344,5543.36,137,170,1,4,1,2020/1/17,1
5345,26108.32,197,4448,18,4,3,2020/1/17,1
5347,4389.69,20,196,1,3,0,2020/1/17,1
5351,23664.07,249,510,10,20,4,2020/1/17,1
5352,6737.88,37,24,2,12,1,2020/1/17,1
4687,1089.48,7,256,2,2,0,2020/1/18,1
4688,139926.22,5827,23676,182,9,6,2020/1/18,1
4691,30064.05,171,956,12,7,2,2020/1/18,1
4692,85712.17,3176,11320,108,15,5,2020/1/18,1
4800,25168,914,2286,25,17,6,2020/1/18,1
4884,25669.17,1236,836,10,12,2,2020/1/18,1
5101,30693.54,1080,2916,26,16,3,2020/1/18,1
5105,72581.16,2224,9862,68,11,6,2020/1/18,1
5110,2532.19,12,0,0,5,0,2020/1/18,1
5134,37111.66,567,9038,17,4,2,2020/1/18,1
5138,8871.55,88,24,2,6,1,2020/1/18,1
5248,3145.35,9,220,2,5,1,2020/1/18,1
5249,7612.68,43,256,4,14,3,2020/1/18,1
5264,9957.84,112,500,4,10,1,2020/1/18,1
5265,7801.19,398,436,3,14,2,2020/1/18,1
5344,11222.83,321,658,3,10,2,2020/1/18,1
5345,12739.66,97,2592,10,4,3,2020/1/18,1
5347,6798.01,47,0,0,2,0,2020/1/18,1
5351,22344.78,251,1186,17,17,4,2020/1/18,1
5352,7151.21,59,96,2,4,1,2020/1/18,1
4687,8332.71,56,630,3,4,1,2020/1/19,1
4688,154641.64,6920,22392,209,8,6,2020/1/19,1
4691,27332.14,181,1136,14,7,2,2020/1/19,1
4692,99337.08,3809,16130,113,14,7,2020/1/19,1
4800,34729.24,1256,3918,33,15,6,2020/1/19,1
4884,28907.32,1211,3016,17,15,4,2020/1/19,1
5101,36074.57,1489,4566,34,17,5,2020/1/19,1
5105,51447.02,1928,6284,46,5,4,2020/1/19,1
5134,37733.31,628,18158,27,6,4,2020/1/19,1
5138,7070.61,53,0,0,5,0,2020/1/19,1
5248,10677.17,42,1532,6,12,3,2020/1/19,1
5249,12952.08,108,2284,4,13,1,2020/1/19,1
5264,4628.84,53,0,0,7,0,2020/1/19,1
5265,9480.2,481,1872,9,11,2,2020/1/19,1
5344,16816.86,579,236,5,15,2,2020/1/19,1
5345,495.3,15,280,2,3,1,2020/1/19,1
5347,10243.71,68,0,0,2,0,2020/1/19,1
5351,29624.45,331,4440,26,14,5,2020/1/19,1
5352,9552.78,92,608,1,6,1,2020/1/19,1
4003,41164.52,94,60,2,2,1,2020/1/20,1
4687,18591.8,78,1406,5,6,2,2020/1/20,1
4688,308585.32,5863,12550,150,12,6,2020/1/20,1
4691,34785.29,250,842,10,16,4,2020/1/20,1
4692,104539.61,4039,37444,72,11,4,2020/1/20,1
4728,5507.21,194,128,1,6,1,2020/1/20,1
4800,35397.75,1228,1440,22,19,4,2020/1/20,1
4884,36673.03,1367,2790,27,13,6,2020/1/20,1
5101,42846.87,2064,6490,49,15,8,2020/1/20,1
5105,75066.53,3048,5052,47,8,5,2020/1/20,1
5134,52033.34,907,2768,26,8,6,2020/1/20,1
5138,4877.06,41,0,0,3,0,2020/1/20,1
5248,11172.73,51,634,5,11,2,2020/1/20,1
5249,13014.07,130,512,8,10,1,2020/1/20,1
5250,1580.87,6,0,0,5,0,2020/1/20,1
5264,720.23,3,0,0,3,0,2020/1/20,1
5265,7729.21,241,444,6,6,1,2020/1/20,1
5266,2844.09,60,12,1,5,1,2020/1/20,1
5344,12941.36,467,268,3,13,2,2020/1/20,1
5345,3678.36,18,0,0,2,0,2020/1/20,1
5347,6321.59,41,0,0,2,0,2020/1/20,1
5349,55358.16,665,390,6,7,3,2020/1/20,1
5351,37383.44,430,8438,31,19,5,2020/1/20,1
5352,8172.73,91,0,0,5,0,2020/1/20,1
4003,49191.36,667,276,9,6,2,2020/1/21,1
4687,15366.53,60,400,6,4,1,2020/1/21,1
4688,300644,5499,39540,139,9,4,2020/1/21,1
4691,48620.16,361,3750,23,16,3,2020/1/21,1
4692,87779.66,3288,3344,50,9,4,2020/1/21,1
4728,10844.08,779,680,2,6,1,2020/1/21,1
4800,28385.92,772,1698,18,19,3,2020/1/21,1
4884,43201.87,1540,2744,27,18,5,2020/1/21,1
5101,50379.7,2182,2286,40,20,8,2020/1/21,1
5105,65879.02,2773,2376,39,8,5,2020/1/21,1
5110,899.36,8,0,0,1,0,2020/1/21,1
5134,73307.37,1466,7564,54,9,7,2020/1/21,1
5138,3899.65,49,12,1,3,1,2020/1/21,1
5248,4723.03,28,98,1,8,0,2020/1/21,1
5249,10455.45,107,852,6,7,1,2020/1/21,1
5250,1580.87,6,0,0,5,0,2020/1/21,1
5264,1797.96,19,0,0,2,0,2020/1/21,1
5265,8394.22,327,0,0,4,0,2020/1/21,1
5266,4112.13,92,24,2,5,1,2020/1/21,1
5344,6353.25,217,0,0,6,0,2020/1/21,1
5345,9944.33,35,0,0,4,0,2020/1/21,1
5347,4184.79,22,0,0,1,0,2020/1/21,1
5349,103127.84,1440,3868,43,12,5,2020/1/21,1
5351,22583.27,298,1030,11,12,3,2020/1/21,1
5352,8453,92,24,2,7,0,2020/1/21,1
4003,13571.77,1016,704,10,5,2,2020/1/22,1
4687,4770.47,34,102,1,2,1,2020/1/22,1
4688,128456.02,5585,34936,89,8,5,2020/1/22,1
4691,48295.2,419,1312,16,11,3,2020/1/22,1
4692,58189.44,2241,3852,52,16,7,2020/1/22,1
4728,13909.38,1376,12,1,8,1,2020/1/22,1
4800,43523.43,1043,5046,31,15,5,2020/1/22,1
4884,35172.91,1436,1552,16,16,5,2020/1/22,1
5101,39984.08,1565,1874,28,15,6,2020/1/22,1
5105,26849.84,1344,4952,27,3,3,2020/1/22,1
5110,16345.13,135,592,7,2,2,2020/1/22,1
5134,94270.76,1941,9198,57,9,5,2020/1/22,1
5138,9957.07,138,980,2,3,1,2020/1/22,1
5248,4267.38,19,0,0,9,0,2020/1/22,1
5249,9443.95,115,304,6,7,2,2020/1/22,1
5264,4274.6,50,376,2,4,1,2020/1/22,1
5265,5406.88,235,340,2,6,0,2020/1/22,1
5266,2934.6,70,0,0,3,0,2020/1/22,1
5344,4748.9,177,24,2,6,0,2020/1/22,1
5345,20147.81,151,120,3,4,2,2020/1/22,1
5347,2189.27,8,0,0,1,0,2020/1/22,1
5349,58964.55,980,6348,31,12,4,2020/1/22,1
5351,8768.23,97,60,2,6,1,2020/1/22,1
5352,6078.9,64,0,0,6,0,2020/1/22,1
5357,1939,107,12,1,3,1,2020/1/22,1
4003,17439.58,1494,506,4,7,2,2020/1/23,1
4688,196607.74,7374,29920,167,7,6,2020/1/23,1
4691,43493.36,465,1980,21,8,3,2020/1/23,1
4692,62970.4,2628,5304,54,15,8,2020/1/23,1
4728,13983.01,1270,548,8,7,3,2020/1/23,1
4800,55541.55,1500,19912,48,11,5,2020/1/23,1
4884,68267.16,3449,4008,44,14,9,2020/1/23,1
