ad_account_id,ad_amount,ad_create_role_num,ad_new_role_money,ad_pay_role_user_num,ad_source_num,ad_valid_source_num,model_run_datetime,data_win
5266,4514.01,355.0,256.0,2.0,4,1,2020-01-15,1
5344,3779.98,91.0,220.0,4.0,2,1,2020-01-15,1
5345,14463.14,89.0,604.0,6.0,4,1,2020-01-15,1
5347,1987.51,17.0,30.0,1.0,2,1,2020-01-15,1
5351,19677.27,268.0,996.0,6.0,13,4,2020-01-15,1
5352,7409.88,80.0,642.0,5.0,3,2,2020-01-15,1
4691,17906.35,113.0,544.0,6.0,9,1,2020-01-16,1
4692,92282.51,3776.0,17382.0,159.0,11,4,2020-01-16,1
4800,17642.26,764.0,764.0,8.0,11,3,2020-01-16,1
4884,15987.29,1274.0,1728.0,18.0,2,2,2020-01-16,1
5101,26241.92,1011.0,2580.0,28.0,9,2,2020-01-16,1
5105,15234.26,426.0,192.0,8.0,6,2,2020-01-16,1
5110,16700.07,74.0,12.0,1.0,14,1,2020-01-16,1
5138,30945.94,397.0,812.0,11.0,16,4,2020-01-16,1
5248,2426.38,7.0,0.0,0.0,5,0,2020-01-16,1
5249,10058.74,77.0,24.0,2.0,10,0,2020-01-16,1
5250,3190.29,21.0,30.0,1.0,7,1,2020-01-16,1
5251,3019.08,14.0,0.0,0.0,6,0,2020-01-16,1
5264,9205.63,42.0,328.0,8.0,13,2,2020-01-16,1
5265,9555.35,1296.0,168.0,6.0,13,2,2020-01-16,1
5266,2728.46,172.0,0.0,0.0,1,0,2020-01-16,1
5344,3478.6,79.0,196.0,2.0,1,1,2020-01-16,1
5345,23351.78,176.0,2332.0,16.0,4,3,2020-01-16,1
5347,5292.68,28.0,162.0,2.0,4,1,2020-01-16,1
5351,23697.61,289.0,6858.0,13.0,19,4,2020-01-16,1
5352,8702.88,57.0,72.0,3.0,11,2,2020-01-16,1
4687,752.51,3.0,0.0,0.0,2,0,2020-01-17,1
4688,45450.77,1646.0,3930.0,25.0,9,4,2020-01-17,1
4691,28098.57,151.0,676.0,12.0,6,2,2020-01-17,1
4692,71492.15,2854.0,11324.0,92.0,9,4,2020-01-17,1
4800,23477.23,954.0,668.0,14.0,16,3,2020-01-17,1
4884,19039.88,1245.0,3386.0,11.0,7,3,2020-01-17,1
5101,27281.65,1022.0,5592.0,16.0,12,4,2020-01-17,1
5105,53293.08,1561.0,1764.0,23.0,12,5,2020-01-17,1
5110,13024.58,58.0,12.0,1.0,15,1,2020-01-17,1
5134,15198.7,228.0,30.0,1.0,4,1,2020-01-17,1
5138,22423.25,343.0,634.0,8.0,13,3,2020-01-17,1
5248,2424.76,6.0,0.0,0.0,8,0,2020-01-17,1
5249,10406.59,75.0,268.0,5.0,13,2,2020-01-17,1
5250,418.6,3.0,0.0,0.0,1,0,2020-01-17,1
5251,1231.68,7.0,0.0,0.0,2,0,2020-01-17,1
5264,10784.52,88.0,912.0,13.0,11,2,2020-01-17,1
5265,5221.18,311.0,380.0,5.0,10,2,2020-01-17,1
5266,1077.82,60.0,0.0,0.0,1,0,2020-01-17,1
5344,5543.36,137.0,170.0,1.0,4,1,2020-01-17,1
5345,26108.32,197.0,4448.0,18.0,4,3,2020-01-17,1
5347,4389.69,20.0,196.0,1.0,3,0,2020-01-17,1
5351,23664.07,249.0,510.0,10.0,20,4,2020-01-17,1
5352,6737.88,37.0,24.0,2.0,12,1,2020-01-17,1
4687,1089.48,7.0,256.0,2.0,2,0,2020-01-18,1
4688,139926.22,5827.0,23676.0,182.0,9,6,2020-01-18,1
4691,30064.05,171.0,956.0,12.0,7,2,2020-01-18,1
4692,85712.17,3176.0,11320.0,108.0,15,5,2020-01-18,1
4800,25168.0,914.0,2286.0,25.0,17,6,2020-01-18,1
4884,25669.17,1236.0,836.0,10.0,12,2,2020-01-18,1
5101,30693.54,1080.0,2916.0,26.0,16,3,2020-01-18,1
5105,72581.16,2224.0,9862.0,68.0,11,6,2020-01-18,1
5110,2532.19,12.0,0.0,0.0,5,0,2020-01-18,1
5134,37111.66,567.0,9038.0,17.0,4,2,2020-01-18,1
5138,8871.55,88.0,24.0,2.0,6,1,2020-01-18,1
5248,3145.35,9.0,220.0,2.0,5,1,2020-01-18,1
5249,7612.68,43.0,256.0,4.0,14,3,2020-01-18,1
5264,9957.84,112.0,500.0,4.0,10,1,2020-01-18,1
5265,7801.19,398.0,436.0,3.0,14,2,2020-01-18,1
5344,11222.83,321.0,658.0,3.0,10,2,2020-01-18,1
5345,12739.66,97.0,2592.0,10.0,4,3,2020-01-18,1
5347,6798.01,47.0,0.0,0.0,2,0,2020-01-18,1
5351,22344.78,251.0,1186.0,17.0,17,4,2020-01-18,1
5352,7151.21,59.0,96.0,2.0,4,1,2020-01-18,1
4687,8332.71,56.0,630.0,3.0,4,1,2020-01-19,1
4688,154641.64,6920.0,22392.0,209.0,8,6,2020-01-19,1
4691,27332.14,181.0,1136.0,14.0,7,2,2020-01-19,1
4692,99337.08,3809.0,16130.0,113.0,14,7,2020-01-19,1
4800,34729.24,1256.0,3918.0,33.0,15,6,2020-01-19,1
4884,28907.32,1211.0,3016.0,17.0,15,4,2020-01-19,1
5101,36074.57,1489.0,4566.0,34.0,17,5,2020-01-19,1
5105,51447.02,1928.0,6284.0,46.0,5,4,2020-01-19,1
5134,37733.31,628.0,18158.0,27.0,6,4,2020-01-19,1
5138,7070.61,53.0,0.0,0.0,5,0,2020-01-19,1
5248,10677.17,42.0,1532.0,6.0,12,3,2020-01-19,1
5249,12952.08,108.0,2284.0,4.0,13,1,2020-01-19,1
5264,4628.84,53.0,0.0,0.0,7,0,2020-01-19,1
5265,9480.2,481.0,1872.0,9.0,11,2,2020-01-19,1
5344,16816.86,579.0,236.0,5.0,15,2,2020-01-19,1
5345,495.3,15.0,280.0,2.0,3,1,2020-01-19,1
5347,10243.71,68.0,0.0,0.0,2,0,2020-01-19,1
5351,29624.45,331.0,4440.0,26.0,14,5,2020-01-19,1
5352,9552.78,92.0,608.0,1.0,6,1,2020-01-19,1
4003,41164.52,94.0,60.0,2.0,2,1,2020-01-20,1
4687,18591.8,78.0,1406.0,5.0,6,2,2020-01-20,1
4688,308585.32,5863.0,12550.0,150.0,12,6,2020-01-20,1
4691,34785.29,250.0,842.0,10.0,16,4,2020-01-20,1
4692,104539.61,4039.0,37444.0,72.0,11,4,2020-01-20,1
4728,5507.21,194.0,128.0,1.0,6,1,2020-01-20,1
4800,35397.75,1228.0,1440.0,22.0,19,4,2020-01-20,1
4884,36673.03,1367.0,2790.0,27.0,13,6,2020-01-20,1
5101,42846.87,2064.0,6490.0,49.0,15,8,2020-01-20,1
5105,75066.53,3048.0,5052.0,47.0,8,5,2020-01-20,1
5134,52033.34,907.0,2768.0,26.0,8,6,2020-01-20,1
5138,4877.06,41.0,0.0,0.0,3,0,2020-01-20,1
5248,11172.73,51.0,634.0,5.0,11,2,2020-01-20,1
5249,13014.07,130.0,512.0,8.0,10,1,2020-01-20,1
5250,1580.87,6.0,0.0,0.0,5,0,2020-01-20,1
5264,720.23,3.0,0.0,0.0,3,0,2020-01-20,1
5265,7729.21,241.0,444.0,6.0,6,1,2020-01-20,1
5266,2844.09,60.0,12.0,1.0,5,1,2020-01-20,1
5344,12941.36,467.0,268.0,3.0,13,2,2020-01-20,1
5345,3678.36,18.0,0.0,0.0,2,0,2020-01-20,1
5347,6321.59,41.0,0.0,0.0,2,0,2020-01-20,1
5349,55358.16,665.0,390.0,6.0,7,3,2020-01-20,1
5351,37383.44,430.0,8438.0,31.0,19,5,2020-01-20,1
5352,8172.73,91.0,0.0,0.0,5,0,2020-01-20,1
4003,49191.36,667.0,276.0,9.0,6,2,2020-01-21,1
4687,15366.53,60.0,400.0,6.0,4,1,2020-01-21,1
4688,300644.0,5499.0,39540.0,139.0,9,4,2020-01-21,1
4691,48620.16,361.0,3750.0,23.0,16,3,2020-01-21,1
4692,87779.66,3288.0,3344.0,50.0,9,4,2020-01-21,1
4728,10844.08,779.0,680.0,2.0,6,1,2020-01-21,1
4800,28385.92,772.0,1698.0,18.0,19,3,2020-01-21,1
