,image_id,image_name,media_id,label_ids,image_launch_time,image_source_total_num,image_run_date_amount,image_create_role_pay_num,image_create_role_num,image_create_role_pay_sum,image_source_num,image_create_role_pay_rate,image_create_role_cost,image_create_role_pay_cost,image_valid_source_num,image_valid_source_rate,image_pay_sum_ability,image_pay_num_ability,image_create_role_roi,image_create_role_retain_1d,model_run_datetime,data_win
21,19789,SSR745-横版 (3D混剪-厕所合集),10,,2020-01-20,4,1435.0,0.0,6.0,0.0,1,0.0,239.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0833,2020-03-01,3
22,19833,SSR754-横版有提示（3D）,10,,2020-01-21,27,15528.78,2.0,401.0,188.0,6,0.005,38.725137,7764.39,0.0,0.0,0.0,0.0,0.012107,0.0956,2020-03-01,3
23,19836,SSR756-横版（3D-656复刻）,10,,2020-01-19,197,17263.19,5.0,386.0,542.0,9,0.013,44.72329,3452.638,9.0,1.0,60.222222,0.5556,0.031396,0.108,2020-03-01,3
24,19836,SSR756-横版（3D-656复刻）,16,,2020-01-19,197,440.33,0.0,3.0,0.0,2,0.0,146.776667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-03-01,3
25,19837,SSR757-横版（混剪）,10,,2020-02-03,19,1273.24,1.0,53.0,12.0,2,0.0189,24.023396,1273.24,2.0,1.0,6.0,0.5,0.009425,0.0678,2020-03-01,3
26,19854,SSR761-竖版（3D混剪）,10,,2020-01-14,184,29124.89,3.0,647.0,838.0,8,0.0046,45.015286,9708.296667,0.0,0.0,0.0,0.0,0.028773,0.1457,2020-03-01,3
27,19854,SSR761-竖版（3D混剪）,16,,2020-01-14,184,6248.27,3.0,48.0,250.0,6,0.0625,130.172292,2082.756667,6.0,1.0,41.666667,0.5,0.040011,0.1923,2020-03-01,3
28,19855,SSR760-横版（3D-364复刻),10,,2020-01-14,89,11081.82,1.0,209.0,30.0,4,0.0048,53.023062,11081.82,0.0,0.0,0.0,0.0,0.002707,0.1216,2020-03-01,3
29,19855,SSR760-横版（3D-364复刻),16,,2020-01-14,89,163.45,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-03-01,3
30,19859,SSR762-横版（混剪）,10,,2020-01-24,40,8545.12,5.0,293.0,354.0,5,0.0171,29.164232,1709.024,4.0,0.8,88.5,1.25,0.041427,0.1429,2020-03-01,3
31,19860,SSR763-横版（混剪）,10,,2020-02-04,17,14708.78,7.0,250.0,210.0,6,0.028,58.83512,2101.254286,4.0,0.6667,52.5,1.75,0.014277,0.1308,2020-03-01,3
