image_id,image_name,image_run_date_amount,image_create_role_pay_num,image_create_role_num,image_create_role_pay_sum,image_source_num,image_create_role_pay_rate,image_create_role_cost,image_create_role_pay_cost,image_valid_source_num,image_valid_source_rate,image_pay_sum_ability,image_pay_num_ability,image_create_role_roi,image_create_role_retain_1d,model_run_datetime,data_win,score,image_launch_time,image_source_total_num,media_id,label_ids
19430,SSR663-横版（混剪）,716.4,0.0,7.0,0.0,1,0.0,102.342857,inf,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-06,3,417.0,2019-12-30,10,10,
19442,SSR668-横版（3D混剪）,7303.7,1.0,101.0,132.0,10,0.0099,72.313861,7303.7,0.0,0.0,0.0,0.0,0.018073,0.2277,2020-01-06,3,549.0,2020-01-06,92,10,
19452,SSR673-竖版（3D）-750x1334—6-30S  7M内,4367.29,1.0,204.0,436.0,1,0.0049,21.408284,4367.29,0.0,0.0,0.0,0.0,0.099833,0.0728,2020-01-06,3,627.0,2020-01-03,9,10,
19466,SSR674-横版（3D）,3459.75,1.0,95.0,42.0,2,0.0105,36.418421,3459.75,1.0,0.5,42.0,1.0,0.01214,0.0485,2020-01-06,3,508.0,2020-01-03,2,10,
19473,SSR677-横版（混剪）,1132.35,0.0,2.0,0.0,1,0.0,566.175,inf,0.0,0.0,0.0,0.0,0.0,0.5,2020-01-06,3,485.0,2020-01-04,1,10,
19477,SSR679-横版有提示（3D）,7848.97,0.0,236.0,0.0,5,0.0,33.258347,inf,0.0,0.0,0.0,0.0,0.0,0.0888,2020-01-06,3,518.0,2020-01-03,16,10,
19484,SSR681-横版（混剪）,536.42,0.0,8.0,0.0,1,0.0,67.0525,inf,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-06,3,437.0,2020-01-04,1,10,
19511,SSR691-竖版（混剪）-02,2016.99,0.0,50.0,0.0,2,0.0,40.3398,inf,0.0,0.0,0.0,0.0,0.0,0.18,2020-01-06,3,502.0,2020-01-06,9,10,
15018,Mxz023,5870.04,2.0,184.0,54.0,4,0.0109,31.902391,2935.02,3.0,0.75,18.0,0.6667,0.009199,0.1117,2020-01-07,3,571.0,2019-09-28,190,10,
16316,SSR123-竖版,2888.89,2.0,211.0,54.0,1,0.0095,13.691422,1444.445,1.0,1.0,54.0,2.0,0.018692,0.0792,2020-01-07,3,521.0,2019-08-16,258,10,
17361,SSR268-横版（扒）,2759.75,0.0,45.0,0.0,1,0.0,61.327778,inf,0.0,0.0,0.0,0.0,0.0,0.0851,2020-01-07,3,478.0,2019-12-04,5,10,
17434,SSR284-横板,2749.32,2.0,129.0,220.0,1,0.0155,21.312558,1374.66,1.0,1.0,220.0,2.0,0.08002,0.1079,2020-01-07,3,622.0,2019-09-24,119,10,
17614,SSR315-竖版,866.38,0.0,6.0,0.0,2,0.0,144.396667,inf,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-07,3,387.0,2020-01-03,3,10,
