,channel_id,source_id,image_id,materialstyle,brand,subtitle,titles
1,21206,1377288,42463,113,罗马：单机加强版,下载领取中国区专属福利！,"['种田、捕猎、挖石、盖房子、造兵，扩领土，看农民如何建立王国！', '真正能带兵打仗的手游，正版帝王手游公测！征服野蛮开创王国！', '伐木采石建造！老玩家们你还记得帝王吗？现在终于出手游啦！', '苦等20年，帝王终于出手游了！伐木造兵，建立属于你的王国！', '开局1个农民，砍树、采石、发展军队、拓展领地，多久一统王国？', '7天我就征服了大半江山！这个游戏只看谋略，你来挑战试试！']"
2,21206,1377290,42682,113,罗马单机加强版,下载领取中国区专属福利！,"['开局1个农民，砍树、采石、发展军队、拓展领地，多久一统王国？', '真正能带兵打仗的手游，正版帝王手游公测！征服野蛮开创王国！', '苦等20年，帝王终于出手游了！伐木造兵，建立属于你的王国！', '伐木采石建造！老玩家们你还记得帝王吗？现在终于出手游啦！', '种田、捕猎、挖石、盖房子、造兵，扩领土，看农民如何建立王国！', '7天我就征服了大半江山！这个游戏只看谋略，你来挑战试试！']"
3,21206,1377292,42463,113,罗马：单机加强版,下载领取中国区专属福利！,"['苦等20年，帝王终于出手游了！伐木造兵，建立属于你的王国！', '真正能带兵打仗的手游，正版帝王手游公测！征服野蛮开创王国！', '种田、捕猎、挖石、盖房子、造兵，扩领土，看农民如何建立王国！', '伐木采石建造！老玩家们你还记得帝王吗？现在终于出手游啦！', '开局1个农民，砍树、采石、发展军队、拓展领地，多久一统王国？', '7天我就征服了大半江山！这个游戏只看谋略，你来挑战试试！']"
4,21206,1377285,40728,113,罗马：单机加强版,下载领取中国区专属福利！,"['苦等20年，帝王终于出手游了！伐木造兵，建立属于你的王国！', '伐木采石建造！老玩家们你还记得帝王吗？现在终于出手游啦！']"
5,21206,1377284,42463,113,罗马：单机加强版,下载领取中国区专属福利！,"['真正能带兵打仗的手游，正版帝王手游公测！征服野蛮开创王国！', '种田、捕猎、挖石、盖房子、造兵，扩领土，看农民如何建立王国！', '开局1个农民，砍树、采石、发展军队、拓展领地，多久一统王国？', '7天我就征服了大半江山！这个游戏只看谋略，你来挑战试试！', '苦等20年，帝王终于出手游了！伐木造兵，建立属于你的王国！', '伐木采石建造！老玩家们你还记得帝王吗？现在终于出手游啦！']"
6,21206,1377287,40046,113,罗马单机加强版,下载领取中国区专属福利！,"['1:1还原经典端游，开局5个农民，伐木采石，填海造陆，建造王国！', '开局1个农民，砍树、采石、发展军队、拓展领地，多久一统王国？']"
7,21206,1377289,40728,113,罗马：单机加强版,下载领取中国区专属福利！,"['苦等20年，帝王终于出手游了！伐木造兵，建立属于你的王国！', '伐木采石建造！老玩家们你还记得帝王吗？现在终于出手游啦！']"
8,21206,1377291,40728,113,罗马：单机加强版,下载领取中国区专属福利！,"['伐木采石建造！老玩家们你还记得帝王吗？现在终于出手游啦！', '苦等20年，帝王终于出手游了！伐木造兵，建立属于你的王国！']"
9,21206,1377293,42682,113,罗马单机加强版,下载领取中国区专属福利！,"['苦等20年，帝王终于出手游了！伐木造兵，建立属于你的王国！', '种田、捕猎、挖石、盖房子、造兵，扩领土，看农民如何建立王国！', '伐木采石建造！老玩家们你还记得帝王吗？现在终于出手游啦！', '开局1个农民，砍树、采石、发展军队、拓展领地，多久一统王国？', '7天我就征服了大半江山！这个游戏只看谋略，你来挑战试试！', '真正能带兵打仗的手游，正版帝王手游公测！征服野蛮开创王国！']"
10,21206,1377294,40046,113,罗马单机加强版,下载领取中国区专属福利！,"['开局1个农民，砍树、采石、发展军队、拓展领地，多久一统王国？', '1:1还原经典端游，开局5个农民，伐木采石，填海造陆，建造王国！']"
11,21206,1377295,42682,113,罗马单机加强版,下载领取中国区专属福利！,"['苦等20年，帝王终于出手游了！伐木造兵，建立属于你的王国！', '开局1个农民，砍树、采石、发展军队、拓展领地，多久一统王国？', '伐木采石建造！老玩家们你还记得帝王吗？现在终于出手游啦！', '7天我就征服了大半江山！这个游戏只看谋略，你来挑战试试！', '种田、捕猎、挖石、盖房子、造兵，扩领土，看农民如何建立王国！', '真正能带兵打仗的手游，正版帝王手游公测！征服野蛮开创王国！']"
12,21206,1377296,43432,113,罗马单机加强版,下载领取中国区专属福利！,"['1:1还原经典端游，开局5个农民，伐木采石，填海造陆，建造王国！', '开局1个农民，砍树、采石、发展军队、拓展领地，多久一统王国？']"
13,21206,1377297,43432,113,罗马单机加强版,下载领取中国区专属福利！,"['1:1还原经典端游，开局5个农民，伐木采石，填海造陆，建造王国！', '开局1个农民，砍树、采石、发展军队、拓展领地，多久一统王国？']"
14,21206,1377298,43432,113,罗马单机加强版,下载领取中国区专属福利！,"['1:1还原经典端游，开局5个农民，伐木采石，填海造陆，建造王国！', '开局1个农民，砍树、采石、发展军队、拓展领地，多久一统王国？']"
15,21206,1378283,42463,113,罗马：单机加强版,下载领取中国区专属福利！,"['帝王出手游了，全球玩家为挤进来，竟都通宵不睡！', '超S级策略手游，耗时三年巨资打造，纯战略游戏无需氪金！', '完美还原经典端游，采集，伐木，挖石，3天打造属于你的王国！', '别浪费你手机的高配置！全新重制帝王手游，限时免费！', '欧美大火2年的帝王策略手游，今日国服终于开放下载！', '风靡全球的帝王手游，一言不合就开战，今日解锁新姿势！']"
16,21206,1378280,43432,113,罗马：单机加强版,下载领取中国区专属福利！,"['1:1还原经典端游，开局5个农民，伐木采石，填海造陆，建造王国！', '开局1个农民，砍树、采石、发展军队、拓展领地，多久一统王国？']"
17,21206,1378282,37938,113,罗马：单机加强版,下载领取中国区专属福利！,"['1:1还原经典端游，开局1个农民，伐木采石，填海造陆，建造王国！', '开局1个农民，砍树、采石、发展军队、拓展领地，多久一统王国？']"
18,21206,1378287,40728,113,罗马：单机加强版,下载领取中国区专属福利！,"['苦等20年，帝王终于出手游了！伐木造兵，建立属于你的王国！', '伐木采石建造！老玩家们你还记得帝王吗？现在终于出手游啦！']"
19,21206,1378292,42682,113,罗马：单机加强版,下载领取中国区专属福利！,"['开局1个农民，砍树、采石、发展军队、拓展领地，多久一统王国？', '当年风靡一时的王国出手游啦！开局选文明、伐木建造、原汁原味']"
20,21206,1378288,40046,113,罗马单机加强版,下载领取中国区专属福利！,"['完美还原经典端游，采集，伐木，挖石，3天打造属于你的王国！', '#{地域}小伙三天招募3万大军，征服609格地图，升级到封建时代！', '3天征服1096格领土，来试试你能打下多大的地图？']"
21,21206,1378291,40728,113,罗马：单机加强版,下载领取中国区专属福利！,"['苦等20年，帝王终于出手游了！伐木造兵，建立属于你的王国！', '伐木采石建造！老玩家们你还记得帝王吗？现在终于出手游啦！']"
22,21206,1378284,40728,113,罗马：单机加强版,下载领取中国区专属福利！,"['伐木采石建造！老玩家们你还记得帝王吗？现在终于出手游啦！', '苦等20年，帝王终于出手游了！伐木造兵，建立属于你的王国！']"
23,21206,1378290,43432,113,罗马：单机加强版,下载领取中国区专属福利！,"['1:1还原经典端游，开局5个农民，伐木采石，填海造陆，建造王国！', '开局1个农民，砍树、采石、发展军队、拓展领地，多久一统王国？']"
24,21206,1378289,40046,113,罗马单机加强版,下载领取中国区专属福利！,"['完美还原经典端游，采集，伐木，挖石，3天打造属于你的王国！', '3天征服1096格领土，来试试你能打下多大的地图？', '#{地域}小伙三天招募3万大军，征服609格地图，升级到封建时代！']"
25,21206,1378281,42682,113,罗马：单机加强版,下载领取中国区专属福利！,"['开局1个农民，砍树、采石、发展军队、拓展领地，多久一统王国？', '当年风靡一时的王国出手游啦！开局选文明、伐木建造、原汁原味']"
26,21206,1378285,43432,113,罗马：单机加强版,下载领取中国区专属福利！,"['1:1还原经典端游，开局5个农民，伐木采石，填海造陆，建造王国！', '开局1个农民，砍树、采石、发展军队、拓展领地，多久一统王国？']"
27,21206,1378293,43829,113,罗马：单机加强版,下载领取中国区专属福利！,"['当年风靡一时的王国出手游啦！开局选文明、伐木建造、原汁原味', '开局1个农民，砍树、采石、发展军队、拓展领地，多久一统王国？']"
28,21206,1378294,40404,113,罗马单机加强版,下载领取中国区专属福利！,"['开局1个农民，砍树、采石、发展军队、拓展领地，多久一统王国？', '当年风靡一时的王国出手游啦！开局选文明、伐木建造、原汁原味!']"
29,21206,1378295,43432,113,罗马：单机加强版,下载领取中国区专属福利！,"['1:1还原经典端游，开局5个农民，伐木采石，填海造陆，建造王国！', '开局1个农民，砍树、采石、发展军队、拓展领地，多久一统王国？']"
30,21206,1378299,37938,113,罗马：单机加强版,下载领取中国区专属福利！,"['1:1还原经典端游，开局1个农民，伐木采石，填海造陆，建造王国！', '开局1个农民，砍树、采石、发展军队、拓展领地，多久一统王国？']"
31,21206,1378297,40404,113,罗马单机加强版,下载领取中国区专属福利！,"['当年风靡一时的王国出手游啦！开局选文明、伐木建造、原汁原味!', '开局1个农民，砍树、采石、发展军队、拓展领地，多久一统王国？']"
32,21206,1378298,40404,113,罗马单机加强版,下载领取中国区专属福利！,"['开局1个农民，砍树、采石、发展军队、拓展领地，多久一统王国？', '当年风靡一时的王国出手游啦！开局选文明、伐木建造、原汁原味!']"
33,21206,1378300,43432,113,罗马：单机加强版,下载领取中国区专属福利！,"['开局1个农民，砍树、采石、发展军队、拓展领地，多久一统王国？', '1:1还原经典端游，开局5个农民，伐木采石，填海造陆，建造王国！']"
34,21206,1378296,42463,113,罗马：单机加强版,下载领取中国区专属福利！,"['欧美大火2年的帝王策略手游，今日国服终于开放下载！', '超S级策略手游，耗时三年巨资打造，纯战略游戏无需氪金！', '完美还原经典端游，采集，伐木，挖石，3天打造属于你的王国！', '帝王出手游了，全球玩家为挤进来，竟都通宵不睡！', '风靡全球的帝王手游，一言不合就开战，今日解锁新姿势！', '别浪费你手机的高配置！全新重制帝王手游，限时免费！']"
35,21206,1378301,42682,113,罗马：单机加强版,下载领取中国区专属福利！,"['当年风靡一时的王国出手游啦！开局选文明、伐木建造、原汁原味', '开局1个农民，砍树、采石、发展军队、拓展领地，多久一统王国？']"
36,21206,1378303,42682,113,罗马：单机加强版,下载领取中国区专属福利！,"['开局1个农民，砍树、采石、发展军队、拓展领地，多久一统王国？', '当年风靡一时的王国出手游啦！开局选文明、伐木建造、原汁原味']"
37,21206,1378304,37938,113,罗马：单机加强版,下载领取中国区专属福利！,"['开局1个农民，砍树、采石、发展军队、拓展领地，多久一统王国？', '1:1还原经典端游，开局1个农民，伐木采石，填海造陆，建造王国！']"
38,21206,1378302,40046,113,罗马单机加强版,下载领取中国区专属福利！,"['3天征服1096格领土，来试试你能打下多大的地图？', '完美还原经典端游，采集，伐木，挖石，3天打造属于你的王国！', '#{地域}小伙三天招募3万大军，征服609格地图，升级到封建时代！']"
39,21206,1378710,42682,113,罗马：单机加强版,下载领取中国区专属福利！,"['苦等20年，帝王终于出手游了！伐木造兵，建立属于你的王国！', '伐木采石建造！老玩家们你还记得帝王吗？现在终于出手游啦!']"
40,21206,1378718,40046,113,罗马：单机加强版,下载领取中国区专属福利！,"['开局1个农民，砍树、采石、发展军队、拓展领地，多久一统王国？', '1:1还原经典端游，开局1个农民，伐木采石，填海造陆，建造王国！']"
41,21206,1378721,43432,113,罗马：单机加强版,下载领取中国区专属福利！,"['开局1个农民，砍树、采石、发展军队、拓展领地，多久一统王国？', '3天征服1096格城池，看遍世界，这就是我要的帝国！', '完美还原经典端游，采集，伐木，挖金，3天打造属于你的王国！']"
42,21206,1378722,40404,113,罗马单机加强版,下载领取中国区专属福利！,"['开局1个农民，砍树、采石、发展军队、拓展领地，多久一统王国？', '当年风靡一时的王国出手游啦！开局选文明、伐木建造、原汁原味!']"
43,21206,1378715,42682,113,罗马：单机加强版,下载领取中国区专属福利！,"['苦等20年，帝王终于出手游了！伐木造兵，建立属于你的王国！', '伐木采石建造！老玩家们你还记得帝王吗？现在终于出手游啦!']"
44,21206,1378717,40404,113,罗马单机加强版,下载领取中国区专属福利！,"['开局1个农民，砍树、采石、发展军队、拓展领地，多久一统王国？', '当年风靡一时的王国出手游啦！开局选文明、伐木建造、原汁原味!']"
45,21206,1378723,40046,113,罗马：单机加强版,下载领取中国区专属福利！,"['开局1个农民，砍树、采石、发展军队、拓展领地，多久一统王国？', '1:1还原经典端游，开局1个农民，伐木采石，填海造陆，建造王国！']"
46,21206,1378719,40046,113,罗马：单机加强版,下载领取中国区专属福利！,"['1:1还原经典端游，开局1个农民，伐木采石，填海造陆，建造王国！', '开局1个农民，砍树、采石、发展军队、拓展领地，多久一统王国？']"
47,21206,1378712,43432,113,罗马：单机加强版,下载领取中国区专属福利！,"['完美还原经典端游，采集，伐木，挖金，3天打造属于你的王国！', '开局1个农民，砍树、采石、发展军队、拓展领地，多久一统王国？', '3天征服1096格城池，看遍世界，这就是我要的帝国！']"
48,21206,1378711,42682,113,罗马：单机加强版,下载领取中国区专属福利！,"['伐木采石建造！老玩家们你还记得帝王吗？现在终于出手游啦!', '苦等20年，帝王终于出手游了！伐木造兵，建立属于你的王国！']"
49,21206,1378714,42682,113,罗马：单机加强版,下载领取中国区专属福利！,"['苦等20年，帝王终于出手游了！伐木造兵，建立属于你的王国！', '伐木采石建造！老玩家们你还记得帝王吗？现在终于出手游啦!']"
